timestamp,pm1,pm2_5,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,luxLevel,motion,battery,gpsLatitude,gpsLongitude,gpsAccuracy
2020-08-10 13:17:25.351000,2.66843581199646,7.419167995452881,61.34968185424805,656,165,40,17,10,10,2,3,0,1,1,0,0,1,0,6,37.10000228881836,33.20000076293945,0.0,None,-18873.0,51.4980974,-0.1740943,13.0
2020-08-10 13:17:59.006000,2.831230640411377,7.351975440979004,73.4378433227539,697,245,47,12,6,8,7,3,4,3,0,0,1,2,0,6,37.10000228881836,32.900001525878906,0.0,None,5812.0,51.498326,-0.1742321,19.0
2020-08-10 13:18:32.737000,4.305528163909912,9.548195838928223,56.43901062011719,1028,456,47,14,9,8,7,1,5,0,1,2,1,2,1,1,37.10000228881836,32.79999923706055,0.0,None,-30639.0,51.4987967,-0.1742602,15.0
2020-08-10 13:19:07.128000,2.873239755630493,7.23311710357666,52.63468551635742,925,215,39,18,12,8,6,1,1,1,0,1,1,2,0,4,37.20000076293945,32.400001525878906,0.0,None,28579.0,51.4990654,-0.1743498,14.0
2020-08-10 13:19:42.159000,3.115036725997925,9.519964218139648,84.40972900390625,865,203,64,27,11,14,9,4,0,0,1,0,1,1,0,10,37.20000076293945,32.400001525878906,0.0,None,15746.0,51.499649,-0.1743647,11.0
2020-08-10 13:20:19.786000,2.8511340618133545,8.042171478271484,48.93280029296875,897,181,60,21,15,11,3,4,1,0,0,1,1,1,2,2,37.20000076293945,31.899999618530273,0.0,None,-15531.0,51.4999329,-0.1748893,17.0
2020-08-10 13:20:58.064000,2.4747939109802246,7.141992568969727,57.80015563964844,751,180,47,18,4,10,9,6,2,4,0,1,0,0,1,4,37.20000076293945,31.30000114440918,0.0,None,-20741.0,51.49996,-0.1757075,14.0
2020-08-10 13:21:33.747000,2.4214696884155273,5.869106292724609,30.860387802124023,730,151,38,15,4,3,7,0,4,0,0,1,0,0,0,2,37.10000228881836,31.5,0.0,None,-14081.0,51.4999457,-0.1763794,14.0
2020-08-10 13:22:08.124000,2.9366464614868164,7.46190071105957,49.37270736694336,822,189,34,13,8,3,11,3,2,2,1,1,1,0,0,2,37.10000228881836,31.80000114440918,0.0,None,-30806.0,51.4998111,-0.1770502,11.0
2020-08-10 13:22:41.861000,3.6050455570220947,8.151183128356934,20.66154670715332,764,412,46,17,13,5,2,3,0,0,1,0,0,0,0,1,37.10000228881836,31.399999618530273,0.0,None,14377.0,51.4997512,-0.177611,10.0
2020-08-10 13:23:19.492000,2.2273991107940674,5.771899700164795,41.33677673339844,776,161,28,17,6,8,6,2,2,4,0,0,0,2,0,2,37.10000228881836,31.899999618530273,0.0,None,5707.0,51.4997261,-0.1780399,10.0
2020-08-10 13:23:53.872000,3.1333935260772705,7.267831325531006,15.961731910705566,686,429,53,15,16,3,3,2,2,0,1,0,0,0,0,0,37.10000228881836,32.10000228881836,0.0,None,1251.0,51.4997775,-0.178346,23.0
2020-08-10 13:24:28.896000,2.575922966003418,6.151652812957764,37.54086685180664,761,318,41,17,5,7,8,1,2,1,0,1,1,0,0,4,37.20000076293945,33.0,0.0,None,-15895.0,51.4997206,-0.1786914,4.0
